courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,othersAsCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
241500,Cash Flow Management and Forecasting,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/cash-flow-management-and-forecasting/241500#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,28,28 students purchased this course,13.0,175.0,no,missing,missing,no,no,missing,missing,missing
241889,Bank Reconciliations and Cash Internal Controls Training,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/bank-reconciliations-and-cash-internal-controls-training/241889#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,36,36 students purchased this course,13.0,175.0,no,missing,missing,no,no,missing,missing,missing
241977,Manual Handling Training,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/manual-handling-training/241977#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,23,23 students purchased this course,11.0,175.0,no,missing,missing,no,no,missing,missing,missing
244543,Report Writing Skills,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/report-writing-skills/244543#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,60,60 students purchased this course,13.0,175.0,no,missing,missing,no,no,missing,missing,missing
255100,"Admin, Secretarial & PA Diploma Level 5",Level 5 Office Administrator Course Endorsed by ABC Awards . MCQ Assessment . Tutor Support ,https://www.reed.co.uk/courses/admin-secretarial-pa-diploma-level-5/255100#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,40,40 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,"Level 5 Diploma Admin, Secretarial & PA (Certificate of Achievement)",5.0
255117,Operations Management Level 5 Diploma,ABC Awards Endorsed Professional Certificate . Level 5 . MCQ Assessment . Tutor Support,https://www.reed.co.uk/courses/operations-management-level-5-diploma/255117#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,27,27 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Operations Management (Certificate of Achievement),5.0
259652,Quality Control Assistant Training Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/quality-control-assistant-training-course-cpd-accredited/259652#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,20,20 students purchased this course,19.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
260387,Business Management Course Level 5 Diploma + Corporate Risk and Crisis Management,Get 2 Certification in 1 Course. Professional Certificate Endorsed by ABC Awards + CPD Certificate. Tutor Support,https://www.reed.co.uk/courses/business-management-course-level-5-diploma--corporate-risk-and-crisis-management/260387#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,11,11 students purchased this course,15.0,300.0,yes,missing,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Business Management (Certificate of Achievement),5.0
260508,GRID Solar Energy Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/grid-solar-energy-course-cpd-accredited/260508#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,20,20 students purchased this course,18.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
262244,Recruitment Consultant + Certificate in Workplace Professionalism,Get 2 Certification in 1 Course. Professional Certificate Endorsed by ABC Awards + CPD Certificate. Tutor Support,https://www.reed.co.uk/courses/recruitment-consultant--certificate-in-workplace-professionalism/262244#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,4,4 students purchased this course,15.0,300.0,yes,missing,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Recruitment Consultant (Certificate of Achievement),5.0
262418,Letting Agent and Functional Skills (Maths) Training Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/letting-agent-and-functional-skills-maths-training-course-cpd-accredited/262418#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,15,15 students purchased this course,21.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,15 CPD points / hours,missing
264369,Marketing Diploma Level 5,Certified Marketing Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/marketing-diploma-level-5/264369#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,10,10 students purchased this course,10.99,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Marketing (Certificate of Achievement),5.0
269356,Project Management,Level 5 Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/project-management/269356#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,0,"Exam(s) / assessment(s) is included in price
Tutor is available to students",10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Project Management (Certificate of Achievement),5.0
269359,Diet and Nutrition,Level 5 Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/diet-and-nutrition/269359#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Diet and Nutrition (Certificate of Achievement),5.0
269366,Marketing,Certified Marketing Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/marketing/269366#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Marketing  (Certificate of Achievement),5.0
269368,Train the Trainer,Level 5 Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/train-the-trainer/269368#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,1,1 student purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Train the Trainer (Certificate of Achievement),5.0
238082,Level 3 Coaching & Mentoring Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/level-3-coaching-mentoring-course-cpd-accredited/238082#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,283,283 students purchased this course,16.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,10 CPD points / hours,missing
238198,Ultimate Microsoft Excel Bootcamp - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/ultimate-microsoft-excel-bootcamp-cpd-accredited/238198#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,32,32 students purchased this course,19.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,65 CPD points / hours,missing
240076,Magnetic Therapy Healing,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/magnetic-therapy-healing/240076#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,22,22 students purchased this course,16.0,175.0,no,missing,missing,no,no,missing,missing,missing
240366,Persuasion and Influence Psychology,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/persuasion-and-influence-psychology/240366#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,27,27 students purchased this course,15.0,175.0,no,missing,missing,no,no,missing,missing,missing
241130,"Equality, Diversity and Inclusion Certificate",Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/equality-diversity-and-inclusion-certificate/241130#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,10,10 students purchased this course,21.0,175.0,no,missing,missing,no,no,missing,missing,missing
241477,Property Portfolio Making Training - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/property-portfolio-making-training-cpd-accredited/241477#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,43,43 students purchased this course,13.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
241587,English Pronunciation Training,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/english-pronunciation-training/241587#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,52,52 students purchased this course,13.0,175.0,no,missing,missing,no,no,missing,missing,missing
242129,Makeup Artist Training and Eyelash Extensions Course,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/makeup-artist-training-and-eyelash-extensions-course/242129#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,19,19 students purchased this course,19.0,175.0,no,missing,missing,no,no,missing,missing,missing
242625,Microsoft Publisher for Beginners - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/microsoft-publisher-for-beginners-cpd-accredited/242625#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,18.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,15 CPD points / hours,missing
243663,Spanish Language: Masterclass,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/spanish-language-masterclass/243663#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,62,62 students purchased this course,15.0,175.0,no,missing,missing,no,no,missing,missing,missing
247394,Anti-Money Laundering and Fraud Management Course - Level 3 - CPD Accredited ,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/anti-money-laundering-and-fraud-management-course-level-3-cpd-accredited/247394#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,64,64 students purchased this course,18.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,12 CPD points / hours,missing
247564,Email Marketing - Complete Guide for Beginners  - CPD Accredited ,Exam and Certificate included . CPD accredited qualification . Lifetime access,https://www.reed.co.uk/courses/email-marketing-complete-guide-for-beginners-cpd-accredited/247564#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,4,4 students purchased this course,12.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
255157,Bookkeeping Course Level 1,ABC Awards Endorsed Professional Certificate . Level 1 . MCQ Assessment . Lifetime access,https://www.reed.co.uk/courses/bookkeeping-course-level-1/255157#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,4,4 students purchased this course,10.99,300.0,no,missing,missing,yes,no,ABC Awards,Level 1 Certificate Bookkeeping (Certificate of Achievement),1.0
