courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
77007,Accredited Event Design and Styling (Event Management Course) - CPD Certified,Accredited Online Course | Certificate Included | Lifetime Access |,https://www.reed.co.uk/courses/accredited-event-design-and-styling-event-management-course-cpd-certified/77007#/courses/discount?pageno=3&sortby=MostPopular,Eventtrix,257,257 students purchased this course,12.0,119.0,yes,The CPD Certification Service,no,no,missing,50 CPD points / hours,missing
241940,Social Housing Management - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/social-housing-management-cpd-accredited/241940#/courses/discount?pageno=3&sortby=MostPopular,Course Gate,168,168 students purchased this course,15.0,175.0,yes,CPD Accreditation Group,no,no,missing,15 CPD points / hours,missing
97924,Risk Management,Risk Management Level 4 Diploma Endorsed by ABC Awards |Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/risk-management/97924#/courses/discount?pageno=3&sortby=MostPopular,Oxford Home Study College,184,184 students purchased this course,10.0,540.0,no,ABC Awards,yes,no,ABC Awards,Level 4 Diploma Risk Management (Certificate of Achievement),4.0
246733,Minute Taking Training,"Enrol today and receive your online training, tutor support, PDF certificate and more ",https://www.reed.co.uk/courses/minute-taking-training/246733#/courses/discount?pageno=3&sortby=MostPopular,Oplex Careers,165,165 students purchased this course,14.0,199.99,yes,The CPD Certification Service,no,no,missing,40 CPD points / hours,missing
192992,Safeguarding Children - Level 2 - Online Course - CPD Accredited,Instant Access | Includes Assessment & Certificate | UK CPD Accredited | Instant Certificate Download,https://www.reed.co.uk/courses/safeguarding-children-level-2-online-course-cpd-accredited/192992#/courses/discount?pageno=3&sortby=MostPopular,Mandatory Training Group,245,245 students purchased this course,15.75,19.99,yes,The CPD Certification Service,no,no,missing,2 CPD points / hours,missing
196642,Change Management® Foundation and Practitioner e-learning with both Accredited Exams,Educating Professionals ,https://www.reed.co.uk/courses/change-management-foundation-and-practitioner-e-learning-with-both-accredited-exams/196642#/courses/discount?pageno=3&sortby=MostPopular,Balance Global,316,316 students enquired about this course,553.0,1090.0,no,APM Group Limited,yes,no,APM Group Limited,Change Management Certification – Practitioner Level,missing
196999,AAT Accounting: AAT Level 2 Foundation Certificate In Accounting,"UK Best Price Guarantee, 94% Pass-Rate, Interest-Free Payment Option",https://www.reed.co.uk/courses/aat-accounting-aat-level-2-foundation-certificate-in-accounting/196999#/courses/discount?pageno=3&sortby=MostPopular,e-Careers,0,896 students enquired about this course,575.0,675.0,no,Ofqual,yes,yes,Association of Accounting Technicians,AAT Level 2 Certificate in Accounting (QCF),missing
207087,HACCP Level 3 Food Safety,CPD accredited online course with certificate,https://www.reed.co.uk/courses/haccp-level-3-food-safety/207087#/courses/discount?pageno=3&sortby=MostPopular,ECHO3 EDUCATION LIMITED,198,198 students purchased this course,70.0,100.0,yes,The CPD Certification Service,no,no,missing,6 CPD points / hours,missing
209994,EYFS Teaching Diploma - CPD Certified,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/eyfs-teaching-diploma-cpd-certified/209994#/courses/discount?pageno=3&sortby=MostPopular,Be-a.co.uk,524,524 students purchased this course,19.0,299.0,yes,The CPD Certification Service,no,no,missing,15 CPD points / hours,missing
219450,Microsoft Excel,E-certificate and exam included| Online certified training | CPD & IAP Accredited | Unlimited 365 Days Access,https://www.reed.co.uk/courses/microsoft-excel/219450#/courses/discount?pageno=3&sortby=MostPopular,Infinity Learning,190,190 students purchased this course,10.0,149.0,yes,The CPD Certification Service,no,no,missing,5 CPD points / hours,missing
266269,Business Development l Endorsed Level 7,Business Development and Administration TQUK Endorsed Diploma (Level 7) l Quiz Based Assessment Included,https://www.reed.co.uk/courses/business-development-l-endorsed-level-7/266269#/courses/discount?pageno=4&sortby=MostPopular,Inspire London College Ltd,45,45 students purchased this course,10.0,995.0,no,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 7 Diploma in Business Administration and Management (Endorsed Diploma),7.0
266743,Level 5 Sales and Marketing,"TQUK Endorsed Sales and Marketing Level 5 diploma, assessed by MCQ's with tutor support",https://www.reed.co.uk/courses/level-5-sales-and-marketing/266743#/courses/discount?pageno=4&sortby=MostPopular,Inspire London College Ltd,33,33 students purchased this course,10.0,695.0,no,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 5 Diploma in Sales and Marketing (Endorsed Course),5.0
267265,COSHH Training,Certificate included I CPD Certified I RoSPA approved member I Audio visual training,https://www.reed.co.uk/courses/coshh-training/267265#/courses/discount?pageno=4&sortby=MostPopular,Training Express Ltd,23,23 students purchased this course,10.0,30.0,yes,The CPD Certification Service,no,no,missing,4 CPD points / hours,missing
228184,Criminal Psychology Course - CPD Certified,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access |Special Deal,https://www.reed.co.uk/courses/criminal-psychology-course-cpd-certified/228184#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,141,141 students purchased this course,12.0,99.0,yes,The CPD Certification Service,no,no,missing,30 CPD points / hours,missing
233898,Functional Maths Training Course - CPD Accredited,CPD Accredited Maths Course | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/functional-maths-training-course-cpd-accredited/233898#/courses/discount?pageno=4&sortby=MostPopular,One Education,339,339 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no,missing,10 CPD points / hours,missing
77043,Cocktail Training and Menu Creation - CPD Certified,Accredited Online Course | Certificate Included | Lifetime Access | Expert Industry Insights| ,https://www.reed.co.uk/courses/cocktail-training-and-menu-creation-cpd-certified/77043#/courses/discount?pageno=4&sortby=MostPopular,Eventtrix,256,256 students purchased this course,12.0,119.0,yes,The CPD Certification Service,no,no,missing,50 CPD points / hours,missing
187536,Reiki Diploma - Level 1 to Master Level Certification - The CMA Accredited ,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/reiki-diploma-level-1-to-master-level-certification-the-cma-accredited/187536#/courses/discount?pageno=4&sortby=MostPopular,Be-a.co.uk,292,292 students purchased this course,19.0,299.0,no,missing,no,no,missing,missing,missing
247398,Pass Your Driving Theory Test - Theory Test Preparation & Safety Awareness Training,Pass Your Driving Theory Test with this CPD Accredited Course | Full Tutor Support | Instant Result | No Hidden Fees,https://www.reed.co.uk/courses/pass-your-driving-theory-test-theory-test-preparation-safety-awareness-training/247398#/courses/discount?pageno=4&sortby=MostPopular,One Education,36,36 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no,missing,8 CPD points / hours,missing
189465,HR & Payroll Diploma - CPD Certified,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/hr-payroll-diploma-cpd-certified/189465#/courses/discount?pageno=4&sortby=MostPopular,Be-a.co.uk,550,550 students purchased this course,49.0,598.0,yes,The CPD Certification Service,no,no,missing,30 CPD points / hours,missing
248541,PRINCE2® 2017 Foundation and Practitioner with Official Exams Package,Project Management| Course With Official Exam Included| Recognised Accredited Qualification| Free Career Support Service,https://www.reed.co.uk/courses/prince2-2017-foundation-and-practitioner-with-official-exams-package/248541#/courses/discount?pageno=4&sortby=MostPopular,1 Training,36,36 students enquired about this course,465.0,649.0,no,PEOPLECERT),yes,no,Axelos (accredited by PEOPLECERT),PRINCE2® Foundation & Practitioner,missing
250295,Mental Capacity Act CPD,Online CPD course that covers what this legislation involves.,https://www.reed.co.uk/courses/mental-capacity-act-cpd/250295#/courses/discount?pageno=4&sortby=MostPopular,CPD Online College,68,68 students purchased this course,12.0,25.0,yes,The CPD Certification Service,no,no,missing,2 CPD points / hours,missing
196768,"Food Safety Bundle - Food Safety, Food Allergens & HACCP Courses","3 courses, industry recognised and approved",https://www.reed.co.uk/courses/food-safety-bundle-food-safety-food-allergens-haccp-courses/196768#/courses/discount?pageno=4&sortby=MostPopular,The Training Terminal,191,191 students purchased this course,19.0,90.0,yes,Institute of Hospitality,no,no,missing,3 CPD points / hours,missing
266551,Report Writing Skills ,"Level 5 Diploma in Report Writing, CPD Accredited Diploma and 100 CPD Points/ Credits, tutor support & Quiz based exam",https://www.reed.co.uk/courses/report-writing-skills/266551#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,39,39 students purchased this course,10.0,595.0,yes,Step Ahead CPD Qualifications,no,no,missing,100 CPD points / hours,missing
224933,Care for Older Adults Course - CPD Certified,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access,https://www.reed.co.uk/courses/care-for-older-adults-course-cpd-certified/224933#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,67,67 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no,missing,30 CPD points / hours,missing
267396,Paediatric First Aid,"Certificate included, CPD Certified, RoSPA approved, Audio visual training",https://www.reed.co.uk/courses/paediatric-first-aid/267396#/courses/discount?pageno=4&sortby=MostPopular,Training Express Ltd,25,25 students purchased this course,10.0,50.0,yes,The CPD Certification Service,no,no,missing,2 CPD points / hours,missing
268086,Payroll,Certificate in Payroll Management - CPD Accredited with quiz based exam included,https://www.reed.co.uk/courses/payroll/268086#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,25,25 students purchased this course,22.0,450.0,yes,Step Ahead CPD Qualifications,no,no,missing,25 CPD points / hours,missing
269372,Interior Design,Level 5 Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/interior-design/269372#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,18,18 students purchased this course,10.0,300.0,no,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Interior Design (Certificate of Achievement),5.0
230556,Diploma in Psychology,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/diploma-in-psychology/230556#/courses/discount?pageno=4&sortby=MostPopular,Janets,84,84 students purchased this course,16.0,289.0,no,missing,no,no,missing,missing,missing
230748,GDPR Certificate– CPD Certified,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/gdpr-certificate-cpd-certified/230748#/courses/discount?pageno=4&sortby=MostPopular,Be-a.co.uk,1452,"1,452 students purchased this course",10.0,299.0,yes,The CPD Certification Service,no,no,missing,2 CPD points / hours,missing
236251,Diploma in Medical Secretary,Level 3 Endorsed Diploma by TQUK | 10 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/diploma-in-medical-secretary/236251#/courses/discount?pageno=4&sortby=MostPopular,One Education,412,412 students purchased this course,18.0,199.0,yes,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Level 3 Diploma in Medical Secretary (Endorsed Certificate),3.0
55369,"Adobe Photoshop, Illustrator & InDesign Master Online Training Bundle",24x7 Online Unlimited Access For 12 Months,https://www.reed.co.uk/courses/adobe-photoshop-illustrator-indesign-master-online-training-bundle/55369#/courses/discount?pageno=4&sortby=MostPopular,Learning 247,272,272 students purchased this course,57.0,240.0,no,Adobe,yes,no,Adobe,"Adobe Certified Expert (ACE) – Adobe Photoshop : Plus multiple versions of Illustrator & InDesign, as well as design skills.",missing
57567,Animal Care Level 3 Course - Fully CPD Accredited & Certified - Only £15,Summary,https://www.reed.co.uk/courses/animal-care-level-3-course-fully-cpd-accredited-certified-only-15/57567#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,1788,"1,788 students purchased this course",15.0,299.99,yes,The CPD Certification Service,no,no,missing,6 CPD points / hours,missing
241703,Construction Management Cost Estimation Diploma,"Level 4 Diploma in Construction Cost Estimation With Study materials, tutor support and Quiz based exam included",https://www.reed.co.uk/courses/construction-management-cost-estimation-diploma/241703#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,82,82 students purchased this course,18.0,495.0,yes,Step Ahead CPD,no,no,missing,60 CPD points / hours,missing
81306,Food Safety Level 2 in Spanish,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/food-safety-level-2-in-spanish/81306#/courses/discount?pageno=4&sortby=MostPopular,The Training Terminal,206,206 students purchased this course,12.0,30.0,no,missing,no,no,missing,missing,missing
97918,Interior Design Advanced Diploma Level 5,Interior Design Advanced Diploma Endorsed by ABC Awards | Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/interior-design-advanced-diploma-level-5/97918#/courses/discount?pageno=4&sortby=MostPopular,Oxford Home Study College,317,317 students purchased this course,19.0,740.0,no,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Interior Design (Certificate of Achievement),5.0
97941,Travel & Tourism Level 2 Course,Travel & Tourism Certificate Endorsed by ABC Awards ,https://www.reed.co.uk/courses/travel-tourism-level-2-course/97941#/courses/discount?pageno=4&sortby=MostPopular,Brentwood Open learning College,306,306 students purchased this course,10.0,340.0,no,ABC Awards,yes,no,ABC Awards,Level 2 Certificate Travel & Tourism (Certificate of Achievement),2.0
245855,SENCO - Special Educational Needs Coordination Course - CPD Accredited,SENCO - Special Educational Needs Coordination Accredited by CPD  | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/senco-special-educational-needs-coordination-course-cpd-accredited/245855#/courses/discount?pageno=4&sortby=MostPopular,One Education,138,138 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no,missing,15 CPD points / hours,missing
125654,Project Management Skills,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/project-management-skills/125654#/courses/discount?pageno=4&sortby=MostPopular,1 Training,64,64 students purchased this course,10.0,349.0,yes,The CPD Certification Service,no,no,missing,16 CPD points / hours,missing
135254,Furniture Restoration Accredited Course - CPD Certified,Accredited Online Course | Certificate Included | Lifetime Access ,https://www.reed.co.uk/courses/furniture-restoration-accredited-course-cpd-certified/135254#/courses/discount?pageno=4&sortby=MostPopular,Trendimi,329,329 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no,missing,30 CPD points / hours,missing
246931,OTHM Level 7 Diploma in Strategic Management and Leadership,Online-Distance Learning,https://www.reed.co.uk/courses/othm-level-7-diploma-in-strategic-management-and-leadership/246931#/courses/discount?pageno=4&sortby=MostPopular,Ascent School of Management London Ltd,184,184 students enquired about this course,816.0,2040.0,no,Ofqual,yes,yes,OTHM Qualifications,Level 7 Diploma in Strategic Management and Leadership (QCF),7.0
192983,Dementia Awareness - Level 1 - Online Course - CPD Accredited,Instant Access | Includes Assessment & Certificate | UK CPD Accredited | Instant Certificate Download,https://www.reed.co.uk/courses/dementia-awareness-level-1-online-course-cpd-accredited/192983#/courses/discount?pageno=4&sortby=MostPopular,Mandatory Training Group,22,22 students purchased this course,12.75,14.99,yes,The CPD Certification Service,no,no,missing,1 CPD points / hours,missing
197846,Communication,Communication (Level 7) Diploma| Endorsed by ABC Awards | 150 CPD Points/Credits | CPD Accredited Certificate,https://www.reed.co.uk/courses/communication/197846#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,24,24 students purchased this course,10.0,1150.0,yes,ABC Awards,yes,no,ABC Awards,Level 7 Diploma Communication Skills (Certificate of achievement),7.0
258640,Retail Management ,Retail Management Diploma Level 5 |Endorsed by ABC Awards | Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/retail-management/258640#/courses/discount?pageno=4&sortby=MostPopular,Oxford Home Study College,79,79 students purchased this course,10.0,740.0,no,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Retail Management (Endorsed Certificate),5.0
