courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated
266551,Report Writing Skills ,"Level 5 Diploma in Report Writing, CPD Accredited Diploma and 100 CPD Points/ Credits, tutor support & Quiz based exam",https://www.reed.co.uk/courses/report-writing-skills/266551#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,39,39 students purchased this course,10.0,595.0,yes,Step Ahead CPD Qualifications,no,no
227961,Business Management,Business Management (Level 7) Endorsed Certificate by ABC Awards | CPD Accredited Certificate | 220 CPD Points/Credits,https://www.reed.co.uk/courses/business-management/227961#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,67,67 students purchased this course,29.0,1050.0,yes,ABC Awards,yes,no
228184,Criminal Psychology Course - CPD Certified,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access |Special Deal,https://www.reed.co.uk/courses/criminal-psychology-course-cpd-certified/228184#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,142,142 students purchased this course,12.0,99.0,yes,The CPD Certification Service,no,no
230316,Speech & Language Therapy Course - CPD Certified,Summary,https://www.reed.co.uk/courses/speech-language-therapy-course-cpd-certified/230316#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,289,289 students purchased this course,24.0,199.99,yes,The CPD Certification Service,no,no
236251,Diploma in Medical Secretary,Level 3 Endorsed Diploma by TQUK | 10 CPD Points I MCQ Based Assessment | Full Tutor Support | Instant Result,https://www.reed.co.uk/courses/diploma-in-medical-secretary/236251#/courses/discount?pageno=4&sortby=MostPopular,One Education,412,412 students purchased this course,18.0,199.0,yes,Training Qualifications UK Ltd,yes,no
238066,Executive Mini MBA ,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/executive-mini-mba/238066#/courses/discount?pageno=4&sortby=MostPopular,1 Training,183,183 students purchased this course,12.0,399.0,yes,The CPD Certification Service,no,no
238284,Health and Social Care Level 3 Certification Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/health-and-social-care-level-3-certification-course-cpd-accredited/238284#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,99,99 students purchased this course,23.0,175.0,yes,CPD Accreditation Group,no,no
77007,Accredited Event Design and Styling (Event Management Course) - CPD Certified,Accredited Online Course | Certificate Included | Lifetime Access |,https://www.reed.co.uk/courses/accredited-event-design-and-styling-event-management-course-cpd-certified/77007#/courses/discount?pageno=4&sortby=MostPopular,Eventtrix,258,258 students purchased this course,12.0,119.0,yes,The CPD Certification Service,no,no
241703,Construction Management Cost Estimation Diploma,"Level 4 Diploma in Construction Cost Estimation With Study materials, tutor support and Quiz based exam included",https://www.reed.co.uk/courses/construction-management-cost-estimation-diploma/241703#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,82,82 students purchased this course,18.0,495.0,yes,Step Ahead CPD,no,no
81306,Food Safety Level 2 in Spanish,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/food-safety-level-2-in-spanish/81306#/courses/discount?pageno=4&sortby=MostPopular,The Training Terminal,206,206 students purchased this course,12.0,30.0,no,missing,no,no
82335,PRINCE2® Practitioner,PRINCE2® Practitioner Course + Official Exam|Awarded by Axelos | Accredited by PEOPLECERT,https://www.reed.co.uk/courses/prince2-practitioner/82335#/courses/discount?pageno=4&sortby=MostPopular,Study365,115,115 students enquired about this course,279.0,499.0,no,PEOPLECERT),yes,no
244365,Personal Development Course,Personal Development (Level 5 Diploma)  Multiple Choice Exam Included and Online Tutor Support,https://www.reed.co.uk/courses/personal-development-course/244365#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,57,57 students purchased this course,10.0,595.0,yes,Step Ahead CPD,no,no
97918,Interior Design Advanced Diploma Level 5,Interior Design Advanced Diploma Endorsed by ABC Awards | Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/interior-design-advanced-diploma-level-5/97918#/courses/discount?pageno=4&sortby=MostPopular,Oxford Home Study College,317,317 students purchased this course,19.0,740.0,no,ABC Awards,yes,no
97924,Risk Management,Risk Management Level 4 Diploma Endorsed by ABC Awards |Tutor Support and Assessments included in the Course Price,https://www.reed.co.uk/courses/risk-management/97924#/courses/discount?pageno=4&sortby=MostPopular,Oxford Home Study College,184,184 students purchased this course,10.0,540.0,no,ABC Awards,yes,no
248541,PRINCE2® 2017 Foundation and Practitioner with Official Exams Package,Project Management| Course With Official Exam Included| Recognised Accredited Qualification| Free Career Support Service,https://www.reed.co.uk/courses/prince2-2017-foundation-and-practitioner-with-official-exams-package/248541#/courses/discount?pageno=4&sortby=MostPopular,1 Training,36,36 students enquired about this course,465.0,649.0,no,PEOPLECERT),yes,no
197846,Communication,Communication (Level 7) Diploma| Endorsed by ABC Awards | 150 CPD Points/Credits | CPD Accredited Certificate,https://www.reed.co.uk/courses/communication/197846#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,24,24 students purchased this course,10.0,1150.0,yes,ABC Awards,yes,no
199209,CMI Level 7 Diploma in Strategic Management and Leadership ,Distance/Blended learning | Tutor support via learning portal | Self paced course | Study materials available ,https://www.reed.co.uk/courses/cmi-level-7-diploma-in-strategic-management-and-leadership/199209#/courses/discount?pageno=4&sortby=MostPopular,"School of Business, London",0,262 students enquired about this course,835.2,2088.0,no,Ofqual,yes,yes
229504,Diploma in Forex Trading - CPD Certified,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/diploma-in-forex-trading-cpd-certified/229504#/courses/discount?pageno=4&sortby=MostPopular,Janets,143,143 students purchased this course,18.0,325.0,yes,CPD Accreditation Group,no,no
230578,Diploma in Hairdressing - CPD Certified,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/diploma-in-hairdressing-cpd-certified/230578#/courses/discount?pageno=4&sortby=MostPopular,Janets,298,298 students purchased this course,18.0,289.0,yes,CPD Accreditation Group,no,no
230744,Customer Service ,Customer Service (Level 7) Diploma Endorsed by ABC Awards | 200 CPD Hours/credits,https://www.reed.co.uk/courses/customer-service/230744#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,65,65 students purchased this course,10.0,1100.0,yes,ABC Awards,yes,no
57567,Animal Care Level 3 Course - Fully CPD Accredited & Certified - Only £15,Summary,https://www.reed.co.uk/courses/animal-care-level-3-course-fully-cpd-accredited-certified-only-15/57567#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,1789,"1,789 students purchased this course",15.0,299.99,yes,The CPD Certification Service,no,no
97941,Travel & Tourism Level 2 Course,Travel & Tourism Certificate Endorsed by ABC Awards ,https://www.reed.co.uk/courses/travel-tourism-level-2-course/97941#/courses/discount?pageno=4&sortby=MostPopular,Brentwood Open learning College,306,306 students purchased this course,10.0,340.0,no,ABC Awards,yes,no
246931,OTHM Level 7 Diploma in Strategic Management and Leadership,Online-Distance Learning,https://www.reed.co.uk/courses/othm-level-7-diploma-in-strategic-management-and-leadership/246931#/courses/discount?pageno=4&sortby=MostPopular,Ascent School of Management London Ltd,184,184 students enquired about this course,816.0,2040.0,no,Ofqual,yes,yes
255188,Interior Design Course Level 5,ABC Awards Endorsed Professional Certificate . Level 5 . MCQ Assessment . Tutor Support,https://www.reed.co.uk/courses/interior-design-course-level-5/255188#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,109,109 students purchased this course,12.0,300.0,no,ABC Awards,yes,no
256353,Change Management ,Level 5 Diploma in Change Management (CPD Diploma) with online tutor support and quiz based exam,https://www.reed.co.uk/courses/change-management/256353#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,51,51 students purchased this course,14.0,595.0,yes,Step Ahead CPD Qualifications,no,no
259629,British Sign Language Teacher Training Course (Level 1 & 2) - CPD Accredited,Exam & Tutor Support Included With The Course Price | Instant Result |  | No Hidden Fees | 12 Months Access,https://www.reed.co.uk/courses/british-sign-language-teacher-training-course-level-1-2-cpd-accredited/259629#/courses/discount?pageno=4&sortby=MostPopular,One Education,41,41 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no
259677,Sage 50 Accounts & Payroll Administrator Training - CPD Accredited,Exam & Tutor Support Included With The Course Price | Instant Result |  | No Hidden Fees | 12 Months Access,https://www.reed.co.uk/courses/sage-50-accounts-payroll-administrator-training-cpd-accredited/259677#/courses/discount?pageno=4&sortby=MostPopular,One Education,204,204 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no
210245,Medical Coding and Billing,Certificate in Medical Coding and Billing | CPD & iAP Accredited | Instant Access to Course Videos,https://www.reed.co.uk/courses/medical-coding-and-billing/210245#/courses/discount?pageno=4&sortby=MostPopular,Study365,88,88 students purchased this course,19.0,199.0,no,missing,no,no
266448,Certificate in Business Law – Level 3,Recognised Accredited Qualification| Endorsed Certificate | Certified Unit Summery,https://www.reed.co.uk/courses/certificate-in-business-law--level-3/266448#/courses/discount?pageno=4&sortby=MostPopular,Study365,26,26 students purchased this course,12.0,79.0,no,ABC Awards,yes,no
266546,ChildCare,Level 5 Diploma in Child Care l CPD Accredited Diploma l 90 CPD Points,https://www.reed.co.uk/courses/childcare/266546#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,50,50 students purchased this course,10.0,595.0,yes,Step Ahead CPD,no,no
267396,Paediatric First Aid,"Certificate included, CPD Certified, RoSPA approved, Audio visual training",https://www.reed.co.uk/courses/paediatric-first-aid/267396#/courses/discount?pageno=4&sortby=MostPopular,Training Express Ltd,25,25 students purchased this course,10.0,50.0,yes,The CPD Certification Service,no,no
267557,Enseña Español En El Extranjero (ELE) - Spanish Teaching Training Course,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access,https://www.reed.co.uk/courses/ensea-espaol-en-el-extranjero-ele-spanish-teaching-training-course/267557#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,24,24 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no
225876,Six Sigma,CPD Accredited Certificate in Project Management Six Sigma  with tutor support,https://www.reed.co.uk/courses/six-sigma/225876#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,124,124 students purchased this course,10.0,350.0,yes,Step Ahead CPD Qualifications,no,no
226734,Online Stock Trading Course,Summary,https://www.reed.co.uk/courses/online-stock-trading-course/226734#/courses/discount?pageno=4&sortby=MostPopular,Wappo Learning,135,135 students purchased this course,19.0,200.0,no,missing,no,no
267977,Pharmacy Assistant Diploma Level 5,Certified Pharmacy Assistant Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/pharmacy-assistant-diploma-level-5/267977#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,17,17 students purchased this course,23.0,300.0,no,ABC Awards,yes,no
230556,Diploma in Psychology,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/diploma-in-psychology/230556#/courses/discount?pageno=4&sortby=MostPopular,Janets,86,86 students purchased this course,16.0,289.0,no,missing,no,no
230595,Diploma in Poultry Farming - CPD Certified,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/diploma-in-poultry-farming-cpd-certified/230595#/courses/discount?pageno=4&sortby=MostPopular,Janets,145,145 students purchased this course,18.0,299.0,yes,CPD Accreditation Group,no,no
269773,CompTIA Security+,NEW SYO - 501,https://www.reed.co.uk/courses/comptia-security/269773#/courses/discount?pageno=4&sortby=MostPopular,e-courses4you,19,19 students purchased this course,10.0,599.99,no,CompTIA,yes,no
236786,Beauty Therapy Level 5,Beauty Therapy Diploma | Endorsed by ABC Awards | CPD Accredited Certificate | 110 CPD Points,https://www.reed.co.uk/courses/beauty-therapy-level-5/236786#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,102,102 students purchased this course,15.0,760.0,yes,ABC Awards,yes,no
28728,HR Management | Foundation Award CIPD Level 3,Invest in yourself | Save 15% on CIPD Award courses in March,https://www.reed.co.uk/courses/hr-management--foundation-award-cipd-level-3/28728#/courses/discount?pageno=4&sortby=MostPopular,ICS Learn,280,280 students enquired about this course,425.0,500.0,no,Chartered Institute of Personnel and Development,yes,no
57561,Basic Accounting Course,Summary,https://www.reed.co.uk/courses/basic-accounting-course/57561#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,1430,"1,430 students purchased this course",12.0,249.99,yes,The CPD Certification Service,no,no
72333,Arts Therapy,Arts Therapy Course with option of CPD Accreditation and Diploma,https://www.reed.co.uk/courses/arts-therapy/72333#/courses/discount?pageno=4&sortby=MostPopular,Renaissance Life Therapies of Harley Street London,583,583 students purchased this course,10.0,200.0,yes,The CPD Standards Office,no,no
245855,SENCO - Special Educational Needs Coordination Course - CPD Accredited,SENCO - Special Educational Needs Coordination Accredited by CPD  | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/senco-special-educational-needs-coordination-course-cpd-accredited/245855#/courses/discount?pageno=4&sortby=MostPopular,One Education,138,138 students purchased this course,15.0,199.0,yes,CPD Accreditation Group,no,no
121401,Perfect Skin from Inside Out (Skin Care & Nutrition Course),Discount Courses| Accredited Online Course | Certificate Included | Lifetime Access ,https://www.reed.co.uk/courses/perfect-skin-from-inside-out-skin-care-nutrition-course/121401#/courses/discount?pageno=4&sortby=MostPopular,Trendimi,72,72 students purchased this course,10.0,499.0,no,missing,no,no
135254,Furniture Restoration Accredited Course - CPD Certified,Accredited Online Course | Certificate Included | Lifetime Access ,https://www.reed.co.uk/courses/furniture-restoration-accredited-course-cpd-certified/135254#/courses/discount?pageno=4&sortby=MostPopular,Trendimi,329,329 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no
247325,Touch Typing Training - CPD Accredited,Touch Typing Training Course Accredited by CPD | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/touch-typing-training-cpd-accredited/247325#/courses/discount?pageno=4&sortby=MostPopular,One Education,107,107 students purchased this course,10.0,199.0,yes,CPD Accreditation Group,no,no
247544,Sales Management,Sales Management Level 5 Professional Advanced Diploma Endorsed by ABC Awards Plus tutor support,https://www.reed.co.uk/courses/sales-management/247544#/courses/discount?pageno=4&sortby=MostPopular,Brentwood Open learning College,228,228 students purchased this course,10.0,760.0,no,ABC Awards,yes,no
255165,Diet and Nutrition Diploma Level 5,ABC Awards Endorsed Professional Certificate . Level 5 . MCQ Assessment . Tutor Support,https://www.reed.co.uk/courses/diet-and-nutrition-diploma-level-5/255165#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,85,85 students purchased this course,10.0,300.0,no,ABC Awards,yes,no
206057,HLTA - Level 4 Certificate for Higher Level Teaching Assistants (RQF),Regulated by OFQUAL | Recognised by schools and OFSTED | Self Paced | Personal Tutor | No extra costs ,https://www.reed.co.uk/courses/hlta-level-4-certificate-for-higher-level-teaching-assistants-rqf/206057#/courses/discount?pageno=4&sortby=MostPopular,Thirsty Scholars Academy,153,153 students enquired about this course,480.0,599.0,no,Ofqual,yes,yes
260607,Safeguarding Adults and Children - Level 2 - CPD Certified Online Course,Instant Access | Includes Assessment & Certificate | UK CPD Accredited | Instant Certificate Download,https://www.reed.co.uk/courses/safeguarding-adults-and-children-level-2-cpd-certified-online-course/260607#/courses/discount?pageno=4&sortby=MostPopular,Mandatory Compliance,29,29 students purchased this course,19.99,49.99,yes,The CPD Certification Service,no,no
218875,Learning English GCSE Course - Accredited Certification,Summary,https://www.reed.co.uk/courses/learning-english-gcse-course-accredited-certification/218875#/courses/discount?pageno=4&sortby=MostPopular,eTeaching Academy,194,194 students purchased this course,19.0,349.99,yes,The CPD Certification Service,no,no
224107,Animal Behaviour and Psychology ,CPD & iAP Accredited Free E - Certificate Included | Access for 365 days | No Hidden Fee,https://www.reed.co.uk/courses/animal-behaviour-and-psychology/224107#/courses/discount?pageno=4&sortby=MostPopular,Global Edulink,81,81 students purchased this course,12.0,199.0,yes,The CPD Certification Service,no,no
228163,Level 2 Certificate in Cleaning - CPD Certified,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/level-2-certificate-in-cleaning-cpd-certified/228163#/courses/discount?pageno=4&sortby=MostPopular,Janets,170,170 students purchased this course,21.0,339.0,no,missing,no,no
268269,Coaching & Mentoring,Endorsed Level 5 Diploma in Coaching & Mentoring l TQUK Endorsed Diploma,https://www.reed.co.uk/courses/coaching-mentoring/268269#/courses/discount?pageno=4&sortby=MostPopular,Inspire London College Ltd,11,11 students purchased this course,35.0,695.0,no,Training Qualifications UK Ltd,yes,no
230612,IT Administrator Diploma,CPD Approved Training II Instant Access II Flexible Study II Free e-certificate included,https://www.reed.co.uk/courses/it-administrator-diploma/230612#/courses/discount?pageno=4&sortby=MostPopular,Janets,174,174 students purchased this course,13.0,289.0,no,missing,no,no
269635,Paralegal Training Diploma,Paralegal Training Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/paralegal-training-diploma/269635#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,17,17 students purchased this course,19.0,300.0,no,ABC Awards,yes,no
