courseId,courseTitle,courseProvider,rankChanged
204136,Supply Chain Management - Course,CPD Courses,1.0
264320,Fire Safety Training Course,Training Express Ltd,42.0
266024,Teaching Assistant Level 3,Course Gate,-12.0
57653,Copywriting course  (Level 4 Diploma) ,College of Media and Publishing,43.0
248460,Level 6 Diploma in Facilities Management l TQUK Endorsed l MCQs Assessment ,Inspire London College Ltd,0.0
222786,Teaching Assistants Training,Study365,16.0
55502,British Cleaning Certificate Course  – CPD Certified  – Only £49,Be-a.co.uk,11.0
241743,Data Analysis In Excel -  CPD Accredited,Course Gate,-14.0
127406,Project Management Training,1 Training,0.0
247388,Medicinal Cannabis & CBD Oil Diploma Course,Centre of Excellence,4.0
192726,Supervisor Training,Staff Training Solutions,4.0
250897,Diploma in Counselling Skills - Level 2,South London College,47.0
199379,Accounting Course,CPD Courses,28.0
256780,Diploma in Health & Social Care - Level 3,Study365,-54.0
218404,Dog Walking - CPD Certified,International Open Academy,-12.0
81248,Food Safety Level 2 -  Local Authority Approved,The Training Terminal,39.0
245363,SEN Teaching Assistant Diploma - 5 CPD Accredited Courses,International Open Academy,34.0
255413,120HR TEFL: Teaching English As A Foreign Language Diploma,Harley Oxford,-8.0
259291,Teaching Assistant Diploma Level 5,Course Gate,-3.0
228881,Global Project Management,UK Professional Development Academy LTD,-14.0
267070,Business Development ,Oxford Home Study College,24.0
267141,Designated Safeguarding Lead (DSL) - CPD Accredited,One Education,32.0
233614,Estate Agent Diploma Level 3,One Education,new
236572,"English: Spelling, Punctuation and Grammar - CPD Accredited",One Education,1.0
77004,Bartender and Barista Training - CPD Certified ,Eventtrix,7.0
81253,Health and Safety Level 2,The Training Terminal,-18.0
97410,Accounting Diploma,Brentwood Open learning College,6.0
245041,Diet and Nutrition ,Oxford Home Study College,29.0
173941,Microsoft Office,Study365,57.0
197995,Interior Design Course,CPD Courses,-2.0
227141,Transport Manager Course,Staff Training Solutions,-8.0
228306,Estate Agent and Property Developer Diploma - CPD Certified,Janets,31.0
234906,Dog Training Diploma,One Education,-9.0
238049,Compliance and Risk Management Course - CPD Accredited,One Education,4.0
242647,Executive PA,Inspire London College Ltd,30.0
250769,Lash Tint – Brow Tint Online Training - CPD Accredited,One Education,52.0
192990,Safeguarding Vulnerable Adults - Level 1 - Online Course - CPD Accredited,Mandatory Training Group,-2.0
259704,Motorcycle Mechanic Training - CPD Accredited,One Education,14.0
264270,Interior Design For Beginners,Course Gate,4.0
266095,Online Phlebotomy Certificate ,Inspire London College Ltd,-29.0
