courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
239091,Estate Agent and Property Management Training - CPD Certified,https://www.reed.co.uk/courses/estate-agent-and-property-management-training-cpd-certified/239091#/courses/discount?sortby=MostPopular,Janets,552,552 students purchased this course,10.0,249.0,yes,no,no,missing,missing
244242,Leadership & Management ,https://www.reed.co.uk/courses/leadership-management/244242#/courses/discount?sortby=MostPopular,Brentwood Open learning College,0,"3,463 students purchased this course",10.0,760.0,no,yes,no,ABC Awards,Level 5 Diploma Leadership & Management (Certificate of Achievement)
196426,Safeguarding Vulnerable Adults Level 3 – Online Training Course – UK CPD Accredited,https://www.reed.co.uk/courses/safeguarding-vulnerable-adults-level-3--online-training-course--uk-cpd-accredited/196426#/courses/discount?sortby=MostPopular,Mandatory Compliance,0,"2,028 students purchased this course",15.0,24.99,yes,no,no,missing,missing
256818,QuickBooks Online for Business: From Setup to Tax Reporting - Simpliv,https://www.reed.co.uk/courses/quickbooks-online-for-business-from-setup-to-tax-reporting-simpliv/256818#/courses/discount?sortby=MostPopular,Simpliv LLC,2,2 students purchased this course,30.8,154.03,no,no,no,missing,missing
246722,Level 3 Award in Education and Training - AET (Formerly PTLLS),https://www.reed.co.uk/courses/level-3-award-in-education-and-training-aet-formerly-ptlls/246722#/courses/discount?sortby=MostPopular,One Education,645,645 students purchased this course,10.0,399.0,no,yes,yes,Training Qualifications UK Ltd,Level 3 Award in Education and Training (QCF)
197478,Construction Management - Course ,https://www.reed.co.uk/courses/construction-management-course/197478#/courses/discount?sortby=MostPopular,CPD Courses,445,445 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma |Construction Management| (Certificate of achievement)
264454,PAT - Portable Appliance Testing Training Course,https://www.reed.co.uk/courses/pat-portable-appliance-testing-training-course/264454#/courses/discount?sortby=MostPopular,Training Express Ltd,99,99 students purchased this course,12.0,55.0,yes,no,no,missing,missing
260391,Diet and Nutrition Diploma + Personal Training & Fitness Instructor Course,https://www.reed.co.uk/courses/diet-and-nutrition-diploma--personal-training-fitness-instructor-course/260391#/courses/discount?sortby=MostPopular,Course Gate,224,224 students purchased this course,14.0,300.0,yes,yes,no,ABC Awards,Level 5 Diploma Diet and Nutrition (Certificate of Achievement)
237280,Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,https://www.reed.co.uk/courses/microsoft-excel-ultimate-5-courses-bundle-with-100-exclusive-excel-templates/237280#/courses/discount?sortby=MostPopular,One Education,0,"1,414 students purchased this course",12.0,199.0,yes,no,no,missing,missing
55501,Pet Sitting and Dog Walking Course – CPD Certified,https://www.reed.co.uk/courses/pet-sitting-and-dog-walking-course--cpd-certified/55501#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"1,874 students purchased this course",39.0,299.0,yes,no,no,missing,missing
